,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,2023-10-01,2023-10-02
Coke 350ml CR 24RB,844,-144,-368,511,567,569,545,964,-5,-212,681
COKE 500ML 20 RB,16,-14,-19,-1,7,2,12,21,-8,-13,5
Coke Zero 750ml 6 S/W NP,86,8,-3,34,44,45,34,83,5,-6,31
DASANI STILL 500ML 12 S/W NP,20,0,-2,9,7,6,7,20,1,-2,10
DASANI WATER 1.5L 6 S/W NP,30,-12,-23,0,6,5,1,28,-14,-24,0
Fanta Fruit Blast 300ml 12 S/W NP,15,2,0,6,8,9,8,14,1,-1,5
FANTA FRUIT BLAST 350ML RGB X 24,43,-2,-11,25,31,34,39,55,7,-3,31
FANTA ORANGE 1.25L 6 S/W NP,137,59,51,93,86,94,89,136,59,51,94
Fanta Orange 300ml 12 S/W NP,39,2,-7,14,18,20,16,38,1,-8,13
Fanta Orange 350ml CR 24RB,485,-98,-228,176,242,219,258,466,-103,-217,202
Fanta Orange 500ml 20 RB,6,-1,-1,4,7,7,12,12,5,4,10
Fanta P/apple 350ml CR 24RB,280,-82,-180,107,109,89,90,235,-124,-219,71
Fanta Passion 1.25L 6 S/W NP,1,0,0,1,1,1,2,2,0,0,1
Fanta Passion 300ml 12 S/W NP,27,1,-4,10,10,9,11,26,0,-5,8
Fanta Passion 350ml 24 RB,193,-96,-158,98,97,91,101,190,-101,-165,89
Fanta Passion 500ml 20 RB,0,-2,-2,-1,0,0,0,0,-1,-1,0
Fanta Pineapple 300ML 12 S/W NP,28,1,-4,9,9,10,13,28,0,-6,8
Fanta Pineapple 500ml 20 RB,3,0,0,4,4,3,5,7,4,4,9
KREST BITTER LEMON 300ML 24 RB,4,-9,-14,-5,-2,-3,0,3,-9,-12,-2
KREST SODA WATER 300ML 24 RB,12,-3,-6,3,5,5,8,13,-2,-5,5
Krest Soda Water 500ml 12 S/W NP,9,5,5,7,7,7,8,9,6,5,8
Krest Tonic 300ml 24 RB,3,-11,-18,-3,0,-2,0,3,-10,-16,-1
Krest Tonic Water 500ml 12 S/W NP,18,7,6,11,12,15,14,20,10,9,15
MINUTE MAID MANGO 1L 6 SW PET,53,21,16,40,44,41,39,57,25,20,43
MINUTE MAID MANGO 400ML 12 SW NP,112,50,45,79,75,81,77,110,48,44,78
Monster Energy TZ 500ml 1x24 C,0,0,0,0,0,0,0,0,0,0,0
Novida Pineapple 300ml 12 S/W NP,40,-6,-12,2,10,5,17,40,-6,-13,1
Spar Pinenut 350ml 24 RB,275,-25,-101,140,125,107,100,251,-47,-122,121
SPRITE 1.25L 6 S/W NP,48,15,11,33,33,35,34,49,16,12,35
Sprite 300ml 12 S/W NP,25,-2,-13,8,13,13,11,26,-2,-13,8
Sprite 350ml CR 24RB,326,-113,-202,133,205,208,184,355,-77,-159,181
Sprite Zero 750ml 6 S/W NP,17,0,-2,9,12,12,9,20,1,-1,9
Tangawizi 350ml 24 RB,8,-56,-91,-5,4,-18,-26,-9,-72,-107,-19
