,Coke 300ml 12 S/W NP,Coke 350ml CR 24RB,COKE 500ML 20 RB,Coke Zero 750ml 6 S/W NP,DASANI STILL 500ML 12 S/W NP,DASANI WATER 1.5L 6 S/W NP,Fanta Fruit Blast 300ml 12 S/W NP,FANTA FRUIT BLAST 350ML RGB X 24,FANTA ORANGE 1.25L 6 S/W NP,Fanta Orange 300ml 12 S/W NP,Fanta Orange 350ml CR 24RB,Fanta Orange 500ml 20 RB,Fanta P/apple 350ml CR 24RB,Fanta Passion 1.25L 6 S/W NP,Fanta Passion 300ml 12 S/W NP,Fanta Passion 350ml 24 RB,Fanta Passion 500ml 20 RB,Fanta Pineapple 300ML 12 S/W NP,Fanta Pineapple 500ml 20 RB,KREST BITTER LEMON 300ML 24 RB,KREST SODA WATER 300ML 24 RB,Krest Soda Water 500ml 12 S/W NP,Krest Tonic 300ml 24 RB,Krest Tonic Water 500ml 12 S/W NP,MINUTE MAID MANGO 1L 6 SW PET,MINUTE MAID MANGO 400ML 12 SW NP,Monster Energy TZ 500ml 1x24 C,Novida Pineapple 300ml 12 S/W NP,Spar Pinenut 350ml 24 RB,SPRITE 1.25L 6 S/W NP,Sprite 300ml 12 S/W NP,Sprite 350ml CR 24RB,Sprite Zero 750ml 6 S/W NP,Tangawizi 350ml 24 RB,Grand Total
2020-01-03,0.0,761.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.363,0.0,428.91,0.0,0.0,288.405,0.0,0.0,0.0,25.36,21.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.54,0.0,0.0,384.54,0.0,96.135,2682.494
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,0.0,764.643,0.0,0.0,0.0,0.0,0.0,0.0,25.099,0.0,291.363,0.0,192.27,0.0,0.0,288.405,0.0,0.0,0.0,57.06,82.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.405,26.42,0.0,387.498,0.0,96.135,2924.624
2020-01-08,0.0,381.582,0.0,0.0,0.0,0.0,0.0,96.135,0.0,0.0,192.27,0.0,192.27,0.0,0.0,96.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.135,0.0,0.0,192.27,0.0,96.135,1342.932
2020-01-09,65.936,381.582,0.0,0.0,0.0,0.0,31.7,0.0,26.42,0.0,288.405,0.0,291.363,26.42,0.0,286.926,0.0,0.0,0.0,0.0,0.0,0.0,82.42,0.0,0.0,134.355,0.0,0.0,192.27,26.42,0.0,288.405,0.0,99.093,3429.439
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,0.0,286.926,0.0,0.0,0.0,215.56,0.0,0.0,39.63,0.0,192.27,0.0,195.228,26.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.84,0.0,0.0,0.0,0.0,26.42,0.0,96.135,0.0,0.0,1924.635
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,384.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.405,0.0,0.0,0.0,0.0,192.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,0.0,288.405,0.0,0.0,1345.89
2020-01-14,0.0,381.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.405,0.0,195.228,0.0,0.0,288.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.85,0.0,0.0,0.0,192.27,0.0,0.0,0.0,0.0,0.0,1398.74
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,669.987,0.0,0.0,0.0,0.0,0.0,47.328,0.0,0.0,480.675,191.949,0.0,0.0,0.0,288.405,0.0,0.0,0.0,0.0,44.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.405,0.0,0.0,0.0,0.0,96.135,2942.258
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.135,0.0,192.27,0.0,0.0,96.135,0.0,0.0,0.0,38.04,0.0,0.0,44.38,0.0,0.0,0.0,0.0,0.0,192.27,0.0,0.0,192.27,0.0,96.135,947.635
2020-01-22,0.0,381.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,192.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.135,0.0,0.0,384.54,0.0,96.135,1342.932
2020-01-23,0.0,573.852,290.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.54,0.0,192.27,0.0,0.0,96.135,0.0,0.0,0.0,57.06,82.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.85,0.0,0.0,479.196,0.0,99.093,2914.776
